Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
0585100,"Orange Juice",AS,"Australia",1993,1994,00,125,"Domestic Consumption",21,"(MT)",35661.0000
0585100,"Orange Juice",AS,"Australia",1993,1994,00,176,"Ending Stocks",21,"(MT)",18978.0000
0585100,"Orange Juice",AS,"Australia",1993,1994,00,088,"Exports",21,"(MT)",1006.0000
0585100,"Orange Juice",AS,"Australia",1993,1994,00,057,"Imports",21,"(MT)",13678.0000
0585100,"Orange Juice",AS,"Australia",1993,1994,00,028,"Production",21,"(MT)",24596.0000
0585100,"Orange Juice",AS,"Australia",1993,1994,00,178,"Total Distribution",21,"(MT)",55645.0000
0585100,"Orange Juice",AS,"Australia",1993,1994,00,086,"Total Supply",21,"(MT)",55645.0000
0585100,"Orange Juice",AS,"Australia",1994,1995,00,020,"Beginning Stocks",21,"(MT)",18978.0000
0585100,"Orange Juice",AS,"Australia",1994,1995,00,125,"Domestic Consumption",21,"(MT)",37000.0000
0585100,"Orange Juice",AS,"Australia",1994,1995,00,176,"Ending Stocks",21,"(MT)",16015.0000
0585100,"Orange Juice",AS,"Australia",1994,1995,00,088,"Exports",21,"(MT)",1624.0000
0585100,"Orange Juice",AS,"Australia",1994,1995,00,057,"Imports",21,"(MT)",21504.0000
0585100,"Orange Juice",AS,"Australia",1994,1995,00,028,"Production",21,"(MT)",14157.0000
0585100,"Orange Juice",AS,"Australia",1994,1995,00,178,"Total Distribution",21,"(MT)",54639.0000
0585100,"Orange Juice",AS,"Australia",1994,1995,00,086,"Total Supply",21,"(MT)",54639.0000
0585100,"Orange Juice",AS,"Australia",1995,1996,00,020,"Beginning Stocks",21,"(MT)",16015.0000
0585100,"Orange Juice",AS,"Australia",1995,1996,00,125,"Domestic Consumption",21,"(MT)",42000.0000
0585100,"Orange Juice",AS,"Australia",1995,1996,00,176,"Ending Stocks",21,"(MT)",16656.0000
0585100,"Orange Juice",AS,"Australia",1995,1996,00,088,"Exports",21,"(MT)",1939.0000
0585100,"Orange Juice",AS,"Australia",1995,1996,00,057,"Imports",21,"(MT)",21662.0000
0585100,"Orange Juice",AS,"Australia",1995,1996,00,028,"Production",21,"(MT)",22918.0000
0585100,"Orange Juice",AS,"Australia",1995,1996,00,178,"Total Distribution",21,"(MT)",60595.0000
0585100,"Orange Juice",AS,"Australia",1995,1996,00,086,"Total Supply",21,"(MT)",60595.0000
0585100,"Orange Juice",AS,"Australia",1996,1997,00,020,"Beginning Stocks",21,"(MT)",16656.0000
0585100,"Orange Juice",AS,"Australia",1996,1997,00,125,"Domestic Consumption",21,"(MT)",45000.0000
0585100,"Orange Juice",AS,"Australia",1996,1997,00,176,"Ending Stocks",21,"(MT)",16474.0000
0585100,"Orange Juice",AS,"Australia",1996,1997,00,088,"Exports",21,"(MT)",1666.0000
0585100,"Orange Juice",AS,"Australia",1996,1997,00,057,"Imports",21,"(MT)",26184.0000
0585100,"Orange Juice",AS,"Australia",1996,1997,00,028,"Production",21,"(MT)",20300.0000
0585100,"Orange Juice",AS,"Australia",1996,1997,00,178,"Total Distribution",21,"(MT)",63140.0000
0585100,"Orange Juice",AS,"Australia",1996,1997,00,086,"Total Supply",21,"(MT)",63140.0000
0585100,"Orange Juice",AS,"Australia",1997,1998,00,020,"Beginning Stocks",21,"(MT)",16474.0000
0585100,"Orange Juice",AS,"Australia",1997,1998,00,125,"Domestic Consumption",21,"(MT)",45000.0000
0585100,"Orange Juice",AS,"Australia",1997,1998,00,176,"Ending Stocks",21,"(MT)",27671.0000
0585100,"Orange Juice",AS,"Australia",1997,1998,00,088,"Exports",21,"(MT)",1925.0000
0585100,"Orange Juice",AS,"Australia",1997,1998,00,057,"Imports",21,"(MT)",43414.0000
0585100,"Orange Juice",AS,"Australia",1997,1998,00,028,"Production",21,"(MT)",14708.0000
0585100,"Orange Juice",AS,"Australia",1997,1998,00,178,"Total Distribution",21,"(MT)",74596.0000
0585100,"Orange Juice",AS,"Australia",1997,1998,00,086,"Total Supply",21,"(MT)",74596.0000
0585100,"Orange Juice",AS,"Australia",1998,1999,00,020,"Beginning Stocks",21,"(MT)",27671.0000
0585100,"Orange Juice",AS,"Australia",1998,1999,00,125,"Domestic Consumption",21,"(MT)",45000.0000
0585100,"Orange Juice",AS,"Australia",1998,1999,00,176,"Ending Stocks",21,"(MT)",20181.0000
0585100,"Orange Juice",AS,"Australia",1998,1999,00,088,"Exports",21,"(MT)",2617.0000
0585100,"Orange Juice",AS,"Australia",1998,1999,00,057,"Imports",21,"(MT)",22508.0000
0585100,"Orange Juice",AS,"Australia",1998,1999,00,028,"Production",21,"(MT)",17619.0000
0585100,"Orange Juice",AS,"Australia",1998,1999,00,178,"Total Distribution",21,"(MT)",67798.0000
0585100,"Orange Juice",AS,"Australia",1998,1999,00,086,"Total Supply",21,"(MT)",67798.0000
0585100,"Orange Juice",AS,"Australia",1999,2000,00,020,"Beginning Stocks",21,"(MT)",20181.0000
0585100,"Orange Juice",AS,"Australia",1999,2000,00,125,"Domestic Consumption",21,"(MT)",46000.0000
0585100,"Orange Juice",AS,"Australia",1999,2000,00,176,"Ending Stocks",21,"(MT)",18404.0000
0585100,"Orange Juice",AS,"Australia",1999,2000,00,088,"Exports",21,"(MT)",2733.0000
0585100,"Orange Juice",AS,"Australia",1999,2000,00,057,"Imports",21,"(MT)",23815.0000
0585100,"Orange Juice",AS,"Australia",1999,2000,00,028,"Production",21,"(MT)",23141.0000
